ID,Start_Time,End_Time,UI_State,Content,Vocal_Duration,Note
1,0,20.5,Loading_Screen,Close your eyes... (Loading),0,Waste 20.50s
2,20.5,26.2,Intro_Video_Sync,I found a love for me,4.5,Video Starts
3,26.2,31.5,Intro_Video_Sync,"Darling, just dive right in and follow my lead",4.8,Video Overlay
4,31.5,36.8,Intro_Video_Sync,"Well, I found a girl, beautiful and sweet",4.9,Video Overlay
5,36.8,42.1,Intro_Video_Sync,"Oh, I never knew you were the someone waiting for me",5,Video Overlay
6,42.1,47.5,Intro_Video_Sync,Cause we were just kids when we fell in love,5.1,Video Overlay
7a,47.5,51.5,Intro_Video_Sync,Not knowing what...,3.5,Video Ends Here
7b,51.5,52.8,Lyrics_Card,...it was,1.3,Card Starts Here
8,52.8,58.2,Lyrics_Card,I will not give you up this time,5,Normal Card
9,58.2,63.5,Lyrics_Card,"But darling, just kiss me slow",4.8,Normal Card
10,63.5,68.5,Lyrics_Card,Your heart is all I own,4.6,Normal Card
11,68.5,73.2,Lyrics_Card,"And in your eyes, you're holding mine",4.4,Normal Card
12,73.2,77.5,Lyrics_Card,"Baby, I'm dancing in the dark",4,Normal Card
13,77.5,81.8,Lyrics_Card,With you between my arms,4,Normal Card
14,81.8,84.9,Lyrics_Card,Barefoot on the grass,2.8,Normal Card
15,84.9,88.5,Lyrics_Card,Listening to our favorite song,3.4,Normal Card
16,88.5,92.5,Lyrics_Card,When you said you looked a mess,3.7,Normal Card
17,92.5,96.2,Lyrics_Card,I whispered underneath my breath,3.4,Normal Card
18,96.2,100.5,Lyrics_Card,But you heard it,3.5,Normal Card
19,100.5,108,Lyrics_Card,"Darling, you look perfect tonight",5.2,Card Ends
20,148,156,Lyrics_Card,,0,8s Gap Event
21,156,132.5,Lyrics_Card,,0,Proposal Theme Start
22,126,132.5,Lyrics_Card,"Well, I found a woman, stronger than anyone I know",6,Verse 2
23,132.5,138.2,Lyrics_Card,"She shares my dreams, I hope that someday I'll share her home",5.3,Proposal Theme
24,138.2,144.5,Lyrics_Card,I found a love to carry more than just my secrets,5.9,Proposal Theme
25,144.5,150,Lyrics_Card,"To carry love, to carry children of our own",5.1,Proposal Theme
26,150,155.5,Lyrics_Card,"We are still kids, but we're so in love",5.2,Proposal Theme
27,155.5,160.5,Lyrics_Card,Fighting against all odds,4.7,Proposal Theme
28,160.5,166.2,Lyrics_Card,I know we'll be alright this time,5.3,Proposal Theme
29,166.2,169.5,Lyrics_Card,"Darling, just hold my hand",3,Proposal Theme
30,169.5,172.5,Lyrics_Card,"Be my girl, I'll be your man",2.8,Proposal Theme
31,172.5,176.5,Lyrics_Card,I see my future in your eyes,3.7,Proposal Theme
32,176.5,180.8,Lyrics_Card,"Baby, I'm dancing in the dark",4,Chorus 2
33,180.8,184.5,Lyrics_Card,With you between my arms,3.4,Proposal Theme
34,184.5,187.5,Lyrics_Card,Barefoot on the grass,2.7,Proposal Theme
35,187.5,192.5,Lyrics_Card,Listening to our favorite song,4.6,Proposal Theme
36,192.5,197,Lyrics_Card,"When I saw you in that dress, looking so beautiful",4.2,Proposal Theme
37,197,202,Lyrics_Card,I don't deserve this,4.6,Proposal Theme
38,202,207.5,Lyrics_Card,"Darling, you look perfect tonight",5.1,Proposal Theme
39,207.5,227,Lyrics_Card,,0,Proposal Theme
40,227,231.5,Lyrics_Card,"Baby, I'm dancing in the dark",4.1,Final Chorus
41,231.5,235.2,Lyrics_Card,With you between my arms,3.4,Proposal Theme
42,235.2,238.5,Lyrics_Card,Barefoot on the grass,3,Proposal Theme
43,238.5,244,Lyrics_Card,Listening to our favorite song,5,Proposal Theme
44,244,248.5,Lyrics_Card,I have faith in what I see,4.1,Proposal Theme
45,248.5,253.5,Lyrics_Card,Now I know I have met an angel in person,4.6,Proposal Theme
46,253.5,256.5,Lyrics_Card,And she looks perfect,2.7,Proposal Theme
47,256.5,259.5,Lyrics_Card,I don't deserve this,2.7,Proposal Theme
48,259.5,264,Lyrics_Card,You look perfect tonight,4,Final Lyric
49,264,272,Scene_Meet,[Music Outro - Fade],0,Fade Out
50,272,282,Proposal_Card,[Music Outro - Fade],0,Fade Out
